City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
624,Luba,GQ,79.77,overcast clouds,3.4568,8.5547,
626,Oistins,BB,78.89,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
630,Inirida,CO,74.07,heavy intensity rain,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
632,Waingapu,ID,82.94,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
633,Aitape,PG,84.58,overcast clouds,-3.1374,142.3475,
634,Catuday,PH,83.43,few clouds,16.2923,119.8062,Benjie's Kubo & Cottages
640,Qinzhou,CN,81.75,few clouds,21.95,108.6167,Jinjiang Inn Style Qingzhou Walmart
641,Taitung,TW,84.47,few clouds,22.7583,121.1444,Taitung Bali Suites Hotel
643,Saint-Paul,RE,75.31,overcast clouds,-21.0096,55.2707,Boucan Canot
645,Pascagoula,US,75.25,few clouds,30.3658,-88.5561,Regency Inn
646,Businga,CD,70.41,moderate rain,3.3333,20.8833,
647,Nicoya,CR,80.91,broken clouds,10.1483,-85.452,Las Cabinas Del Sueño
648,Marang,MY,81.61,overcast clouds,5.2056,103.2059,DBarakah Homestay
649,Tarakan,ID,78.3,moderate rain,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
653,Dwarka,IN,80.74,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
654,Kaduqli,SD,86.67,scattered clouds,11.0167,29.7167,Nussyba
657,Charleston,US,71.02,broken clouds,32.7766,-79.9309,The Mills House Wyndham Grand Hotel
658,Tezu,IN,70.32,overcast clouds,27.9167,96.1667,Circuit House
660,Port Hedland,AU,86.05,broken clouds,-20.3167,118.5667,The Esplanade Hotel
663,Rabaul,PG,82.56,few clouds,-4.1967,152.1721,Rabaul Hotel
664,Bairiki,KI,86.0,scattered clouds,1.3292,172.9752,Tarawa Boutique Hotel
666,San Matias,BO,78.21,broken clouds,-16.3667,-58.4,"HOTEL ""SAN JOSE"""
668,Chunhuhub,MX,79.81,few clouds,19.55,-88.6833,
670,Santa Isabel Do Rio Negro,BR,75.06,overcast clouds,-0.4139,-65.0192,Hotel GSA
671,Point Pedro,LK,81.39,few clouds,9.8167,80.2333,Gtr homes
673,Dakoro,NE,85.84,few clouds,14.5106,6.765,Shagon mai liverpool
676,Moranbah,AU,71.49,overcast clouds,-22.0016,148.0466,Direct Hotels - Monterey Moranbah
680,Innisfail,AU,76.82,light rain,-17.5333,146.0333,Moondarra Motel
682,Ngoro,ID,80.53,overcast clouds,-7.6839,112.258,HOUSE OF HERMANTO
683,Katsina,NG,85.17,clear sky,12.9894,7.6006,Katsina Motel
685,Bani,DO,76.44,few clouds,18.2833,-70.3333,Hospedaje Henriquez
686,Ibra,OM,75.9,clear sky,22.6906,58.5334,مزرعة راحة النفوس المنزفة
688,Sechura,PE,70.25,broken clouds,-5.5569,-80.8222,Hospedaje Costa Bella
690,Paita,PE,70.38,overcast clouds,-5.0892,-81.1144,Hotel Náutico de Paita
696,Mozarlandia,BR,75.24,overcast clouds,-14.7447,-50.5706,Hotel Santa Mônica
697,Maceio,BR,78.24,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
698,Padang,ID,75.25,overcast clouds,-0.9492,100.3543,Mercure Padang
703,Belmonte,BR,78.03,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
704,Floresta,BR,74.82,broken clouds,-8.6011,-38.5686,Hotel Floresta
710,Nouakchott,MR,73.33,clear sky,18.0858,-15.9785,HOTEL IMAN
711,Progreso,MX,82.11,clear sky,21.2833,-89.6667,Playa Linda Hotel
712,Sola,VU,81.34,overcast clouds,-13.8833,167.55,Leumerus Bungalows
713,Lat Yao,TH,88.2,broken clouds,15.751,99.7893,โรงแรมสอระ
714,Qui Nhon,VN,82.63,few clouds,13.7667,109.2333,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
715,Kloulklubed,PW,81.1,broken clouds,7.0419,134.2556,Storyboard Beach Resort
716,Reconquista,AR,75.11,broken clouds,-29.15,-59.65,Grand Hotel
717,Arlit,NE,83.25,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
718,Portland,US,70.29,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
719,Lufilufi,WS,87.58,light rain,-13.8745,-171.5986,Leuaina Beach Resort and Spa
720,Mangai,CD,70.21,overcast clouds,-4.05,19.5333,
